,Title,Popularity,Drama,Comedy,Thriller,Action,Romance,Adventure,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,Music,War,Documentary,Western,Foreign,Quirky,Cerebral,Fast-Paced,Epic,Historical,Heartwarming,Creative,Independent,Tense,Realistic,Funny,New Release,Critically Acclaimed
2548,Malibu's Most Wanted,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2549,Where the Heart Is,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2550,Lawrence of Arabia,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2551,Halloween II,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
2552,Wild,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
2553,The Last House on the Left,19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,-2.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
2554,The Wedding Date,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,-1.0,-1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2555,Halloween: Resurrection,11,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,0.0
2556,The Princess Bride,44,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2557,The Great Debaters,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2558,Drive,49,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,-2.0,1.0,3.0,1.0,0.0,-1.0,1.0,1.0
2559,Confessions of a Teenage Drama Queen,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,-2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2560,The Object of My Affection,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
2561,28 Weeks Later,34,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,0.0,4.0,0.0,-2.0,0.0,0.0
2562,When the Game Stands Tall,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,-2.0,2.0,0.0,2.0,0.0
2563,Because of Winn-Dixie,3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2564,Love & Basketball,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0
2565,Grosse Pointe Blank,13,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2566,All About Steve,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2567,Book of Shadows: Blair Witch 2,3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0
2568,The Craft,19,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.0,0.0,-1.0,1.0,-3.0,0.0,1.0,0.0,1.0,-3.0,0.0,0.0,0.0
2569,Match Point,30,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.0,-0.5,-0.5,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
2570,Ramona and Beezus,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2571,The Remains of the Day,15,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2572,Boogie Nights,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2573,Nowhere to Run,11,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2574,Flicka,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2575,The Hills Have Eyes 2,17,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0
2576,Urban Legends: Final Cut,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.0,1.0,0.0,-2.0,0.0,0.0,1.0,-1.0,2.0,1.0,-1.0,0.0,0.0
2577,Tuck Everlasting,4,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2578,The Marine,7,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2579,Keanu,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,-1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
2580,Country Strong,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,-1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0
2581,Disturbing Behavior,9,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.0,1.0,1.0,-3.0,-1.0,2.0,0.0,0.0,2.0,2.0,-1.0,0.0,0.0
